Date,Open,High,Low,Close,Adj Close,Volume,SMA20,2xstd,ld,hd,std,psd,nsd
2020-05-15,3.37,3.45,3.36,3.37,3.37,13699000,3.3589999999999995,0.4817426698975295,2.87725733010247,3.840742669897529,0.24087133494876475,3.599871334948764,3.118128665051235
2020-05-18,3.5,3.69,3.5,3.61,3.61,27771300,3.367,0.476868954745431,2.890131045254569,3.8438689547454308,0.2384344773727155,3.6054344773727154,3.1285655226272846
2020-05-19,3.62,3.75,3.59,3.69,3.69,21707400,3.3880000000000003,0.480815973112375,2.9071840268876254,3.8688159731123752,0.2404079865561875,3.628407986556188,3.1475920134438127
2020-05-20,3.76,3.82,3.4,3.48,3.48,52056900,3.4215000000000004,0.4667451124543245,2.954754887545676,3.888245112454325,0.23337255622716224,3.6548725562271627,3.188127443772838
2020-05-21,3.4,3.44,3.23,3.33,3.33,41628400,3.4410000000000003,0.4416288034084734,2.999371196591527,3.8826288034084735,0.2208144017042367,3.661814401704237,3.2201855982957635
2020-05-22,3.33,3.34,3.18,3.27,3.27,22887300,3.4545000000000003,0.4095595194840428,3.0449404805159577,3.864059519484043,0.2047797597420214,3.659279759742022,3.249720240257979
2020-05-26,3.42,3.83,3.4,3.82,3.82,59847900,3.470999999999999,0.34715414443730896,3.1238458555626902,3.818154144437308,0.17357707221865448,3.6445770722186537,3.2974229277813447
2020-05-27,4.01,4.2,3.9,4.17,4.17,70718900,3.499999999999999,0.3617181222996713,3.1382818777003276,3.8617181222996706,0.18085906114983566,3.680859061149835,3.3191409388501634
2020-05-28,3.98,4.12,3.75,3.83,3.83,62756900,3.541499999999999,0.456739531899747,3.084760468100252,3.9982395318997463,0.2283697659498735,3.7698697659498728,3.3131302340501256
2020-05-29,3.82,4.0,3.73,3.98,3.98,50303000,3.5524999999999998,0.47311203747104125,3.0793879625289584,4.025612037471041,0.23655601873552062,3.7890560187355202,3.3159439812644793
2020-06-01,4.0,4.33,3.96,4.26,4.26,69222000,3.5810000000000004,0.50306659598904,3.0779334040109605,4.08406659598904,0.25153329799452,3.8325332979945204,3.3294667020054804
2020-06-02,4.36,4.73,4.35,4.7,4.7,82476600,3.6350000000000002,0.5490537314325438,3.0859462685674566,4.184053731432544,0.2745268657162719,3.909526865716272,3.3604731342837284
2020-06-03,5.0,5.7,4.98,5.6,5.6,199210000,3.7030000000000003,0.7017150418795367,3.0012849581204635,4.404715041879537,0.35085752093976835,4.0538575209397685,3.352142479060232
2020-06-04,6.01,6.2,5.61,5.97,5.97,173052600,3.819,1.0594885558607983,2.7595114441392017,4.878488555860798,0.5297442779303991,4.348744277930399,3.289255722069601
2020-06-05,6.03,6.08,5.52,5.59,5.59,90811800,3.9364999999999997,1.4088048125982533,2.527695187401746,5.345304812598253,0.7044024062991266,4.640902406299126,3.232097593700873
2020-06-08,5.81,6.08,5.68,5.97,5.97,85951600,4.0344999999999995,1.5730031786363305,2.461496821363669,5.60750317863633,0.7865015893181653,4.821001589318165,3.2479984106818343
2020-06-09,5.84,6.83,5.76,6.68,6.68,136907900,4.1445,1.7779704721957559,2.3665295278042437,5.922470472195756,0.8889852360978779,5.033485236097878,3.255514763902122
2020-06-10,6.72,6.95,6.16,6.3,6.3,100170700,4.291500000000001,2.080329541202547,2.211170458797454,6.371829541202548,1.0401647706012735,5.331664770601274,3.2513352293987277
2020-06-11,5.79,6.09,5.66,5.91,5.91,126509700,4.4255,2.229928025744328,2.1955719742556723,6.655428025744328,1.114964012872164,5.540464012872165,3.310535987127836
2020-06-12,6.2,6.32,5.92,6.1,6.1,59838800,4.548999999999999,2.2711398019496727,2.277860198050326,6.820139801949671,1.1355699009748363,5.684569900974835,3.4134300990251623
2020-06-15,5.97,6.99,5.92,6.83,6.83,113694400,4.681499999999999,2.308118497824581,2.373381502175418,6.98961849782458,1.1540592489122905,5.83555924891229,3.5274407510877084
2020-06-16,7.43,7.44,6.53,6.99,6.99,130478600,4.854499999999999,2.405597430992975,2.448902569007024,7.260097430992974,1.2027987154964874,6.057298715496486,3.6517012845035115
2020-06-17,6.93,6.98,6.67,6.84,6.84,58927300,5.023499999999999,2.5049892215336973,2.518510778466302,7.528489221533697,1.2524946107668486,6.275994610766848,3.7710053892331508
2020-06-18,6.8,7.36,6.78,7.18,7.18,78846400,5.180999999999999,2.545591483329562,2.635408516670437,7.726591483329561,1.272795741664781,6.453795741664781,3.908204258335218
